"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR29782146" 0.323107702567523 0.644214738246082 0.00166722240746916 0.00233411137045682 0.000666888962987663 0.0223407802600867 0.00566855618539519 0.319773257752584 0.00333444481493831 0 0.0396798932977659 0.0140046682227409 0.00633544514838279 0.243414471490497 0 0.0163387795931977 0.00333444481493831 0.0290096698899633 0.00600200066688896 0 0 0.000333444481493831 0.0010003334444815 0.00333444481493831 0.0290096698899633 0.00600200066688896 0 0 0.000333444481493831 0.0010003334444815 0.000333444481493831 0 0.0226742247415805 0.000666888962987663 0.00300100033344448 0.00333444481493831 0.00100033344448149 0.000333444481493831 0 0.0290096698899633 0 0 0.00333444481493831 0
"SRR29782145" 0.808666666666667 0.116333333333333 0.0243333333333333 0.0126666666666667 0.003 0.001 0.034 0.369666666666667 0.439 0 0.163333333333333 0.162333333333333 0.023 0.0136666666666667 0 0.0073333333333333 0.006 0.0603333333333333 0.0613333333333333 0 0.00566666666666667 0.003 0.027 0.00333333333333333 0.064 0.0613333333333333 0 0.00566666666666667 0.003 0.026 0.0103333333333333 0 0.0136666666666667 0.0156666666666667 0.017 0.046 0 0.0103333333333333 0 0.064 0 0 0.0453333333333333 0
"SRR29782134" 0.240746915638546 0.724908302767589 0.00266755585195065 0.00200066688896299 0.00266755585195065 0.0250083361120373 0.00200066688896294 0.208402800933645 0.0323441147049016 0 0.0393464488162721 0.0153384461487162 0.000333444481493831 0.148049349783261 0 0.0053351117039013 0.00200066688896299 0.031677225741914 0.00466822274091364 0 0.000666888962987663 0 0.00033344448149384 0.00200066688896299 0.031677225741914 0.00466822274091364 0 0.000666888962987663 0 0.00033344448149384 0.000333444481493831 0 0.0136712237412471 0.00566855618539513 0.00933644548182728 0.00333444481493831 0 0.000333444481493831 0 0.031677225741914 0 0 0.00333444481493831 0
"SRR29782129" 0.09472981987992 0.881921280853903 0.00333555703802535 0.00466977985323549 0.00700466977985324 0.00833889259506338 0 0.0887258172114743 0.00600400266844563 0 0.0056704469646431 0.0056704469646431 0.00066711140760507 0.0740493662441628 0 0.00266844563042029 0 0.00400266844563042 0.00100066711140761 0.000333555703802535 0 0 0.000333555703802535 0 0.00400266844563042 0.00100066711140761 0 0 0 0.000667111407605069 0.000333555703802535 0 0.00166777851901268 0.00133422281521014 0.00100066711140761 0.00066711140760507 0 0.000333555703802535 0 0.00400266844563042 0 0 0.00066711140760507 0
"SRR29782128" 0.488651535380507 0.329439252336449 0.0604138851802403 0.0320427236315087 0 0.0156875834445928 0.0737650200267024 0.347129506008011 0.141522029372497 0 0.0971295060080107 0.0874499332443258 0.00700934579439252 0.0834445927903872 0 0.0720961281708946 0.00267022696929239 0.0110146862483311 0.0270360480640854 0 0.00734312416555407 0.00801068090787717 0.0410547396528705 0.000667556742323097 0.0110146862483311 0.0307076101468625 0 0.00734312416555407 0.00801068090787717 0.0393858477970628 0.00467289719626168 0 0.000667556742323097 0.00400534045393859 0.00567423230974633 0.017022696929239 0 0.00433911882510013 0 0.0110146862483311 0 0 0.0200267022696929 0
"SRR29782127" 0.124041347115705 0.846615538512838 0.00133377792597533 0.025675225075025 0.00133377792597533 0.00100033344448149 -2.22044604925031e-16 0.120706902300767 0.00333444481493831 0 0.00633544514838279 0.000666888962987663 0.00100033344448149 0.112037345781927 0 0.000666888962987652 0 0.00433477825941981 0.000666888962987663 0 0 0 0.00133377792597532 0 0.00433477825941981 0.000666888962987663 0 0 0 0.00133377792597532 0 0 0.00400133377792598 0.000333444481493831 0 0.000666888962987663 0 0 0 0.00433477825941981 0 0 0.000666888962987663 0
"SRR29782126" 0.168280467445743 0.8110183639399 0.00934891485809683 0.00434056761268781 0.000667779632721202 0.00400667779632721 0.00233722871452413 0.157262103505843 0.0110183639398998 0 0.0373956594323873 0.0173622704507513 0.00333889816360601 0.0941569282136895 0 0.00500834724540902 0.000333889816360601 0.0223706176961603 0.00734557595993322 0 0.0013355592654424 0.000667779632721202 0.00534223706176962 0 0.0227045075125209 0.00734557595993322 0 0.0013355592654424 0.000667779632721202 0.00534223706176962 0.0010016694490818 0 0.00601001669449082 0.0143572621035058 0.000333889816360601 0.00601001669449082 0 0.0010016694490818 0 0.0227045075125209 0 0 0.00601001669449082 0
"SRR29782125" 0.121666666666667 0.869 0.00166666666666667 0 0.001 0.00666666666666667 0 0.118666666666667 0.003 0 0.00833333333333333 0.00166666666666667 0.00133333333333333 0.105 0 0.00233333333333334 0.000333333333333333 0.006 0.00166666666666667 0 0 0 0.000333333333333333 0.000333333333333333 0.006 0.00166666666666667 0 0 0 0.000333333333333333 0 0 0.00366666666666667 0.002 0 0.00166666666666667 0.000333333333333333 0 0 0.006 0 0 0.00166666666666667 0
"SRR29782124" 0.264106844741235 0.696494156928214 0.00901502504173623 0.0227045075125209 0.001669449081803 0.00567612687813022 0.000333889816360622 0.220033388981636 0.0440734557595993 5.55111512312578e-17 0.0347245409015025 0.121202003338898 0.00500834724540901 0.0574290484140234 0 0.00166944908180297 0.0013355592654424 0.00934891485809683 0.015025041736227 0 0.00601001669449082 0 0.00300500834724541 0.000667779632721202 0.00934891485809683 0.015025041736227 0 0.00601001669449082 0 0.00367278797996661 0 0 0.00400667779632721 0.00333889816360601 0.0010016694490818 0.0143572621035058 0 0 0 0.00934891485809683 0 0 0.0143572621035058 0
"SRR29782123" 0.104701567189063 0.89296432144048 0.000333444481493831 0.000333444481493831 0.000333444481493831 0.00133377792597533 0 0.104701567189063 0 0 0.00100033344448149 0 0.00100033344448149 0.102367455818606 0 0.000333444481493833 0.000333444481493831 0.000333444481493831 0.000333444481493831 0 0 0 2.16840434497101e-19 0 0.000333444481493831 0.000333444481493831 0 0 0 0.000333444481493831 0 0 0.000333444481493831 0 0 0.000333444481493831 0 0 0 0.000333444481493831 0 0 0.000333444481493831 0
