"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR14117902" 0.529333333333333 0.226 0.0136666666666667 0.1 0.000666666666666667 0.116 0.0143333333333333 0.330333333333333 0.199 0 0.105 0.0393333333333333 0.176 0 0 0.01 0.00633333333333333 0.0806666666666667 0.00166666666666667 0 0 0.00233333333333333 0.014 0.00733333333333333 0.0836666666666667 0.00166666666666667 0 0 0.00233333333333333 0.01 0 0 0.066 0.00733333333333333 0.00633333333333333 0.00166666666666667 0.000333333333333333 0 0 0.0836666666666667 0 0 0.00166666666666667 0
"SRR14117891" 0.506666666666667 0.175 0.02 0.036 0 0.245666666666667 0.0166666666666666 0.449333333333333 0.0573333333333333 1.11022302462516e-16 0.138 0.028 0.258666666666667 0 0 0.0246666666666667 0.00733333333333333 0.113 0 0 0 0.00133333333333333 0.0163333333333333 0.0116666666666667 0.114333333333333 0 0 0 0.00133333333333333 0.0106666666666667 0 0 0.100666666666667 0.00333333333333333 0.006 0 0 0 0 0.114333333333333 0 0 0 0
"SRR14117889" 0.494333333333333 0.153333333333333 0.0126666666666667 0.0713333333333333 0 0.253666666666667 0.0146666666666666 0.459666666666667 0.0346666666666667 0 0.12 0.0493333333333333 0.273333333333333 0 0 0.017 0.007 0.100666666666667 0.000666666666666667 0 0.000333333333333333 0.001 0.0103333333333333 0.00766666666666667 0.103 0.000666666666666667 0 0.000333333333333333 0.001 0.00733333333333333 0 0 0.0883333333333333 0.00633333333333333 0.005 0.000666666666666667 0.000666666666666667 0 0 0.103 0 0 0.000666666666666667 0
"SRR14117878" 0.646666666666667 0.0866666666666667 0.004 0.217666666666667 0.0116666666666667 0.0306666666666667 0.00266666666666671 0.504333333333333 0.142333333333333 0 0.100666666666667 0.0296666666666667 0.369333333333333 0.000333333333333333 0 0.0043333333333333 0.000333333333333333 0.0956666666666667 0.000666666666666667 0 0 0.000333333333333333 0.00366666666666667 0.00133333333333333 0.0963333333333333 0.000666666666666667 0 0 0.000333333333333333 0.00199999999999999 0 0 0.0826666666666667 0.00733333333333333 0.00533333333333333 0.000666666666666667 0 0 0 0.0963333333333333 0 0 0.000666666666666667 0
"SRR14117867" 0.627333333333333 0.237666666666667 0.00933333333333333 0.0406666666666667 0.000333333333333333 0.0756666666666667 0.00900000000000012 0.582333333333333 0.045 -1.11022302462516e-16 0.173 0.0253333333333333 0.371666666666667 0.000666666666666667 0 0.0116666666666667 0.01 0.152 0.000333333333333333 0 0.000333333333333333 0.00166666666666667 0.00866666666666666 0.0113333333333333 0.154 0.000333333333333333 0 0.000333333333333333 0.00166666666666667 0.00533333333333333 0 0 0.135 0.01 0.005 0.000333333333333333 0 0 0 0.154 0 0 0.000333333333333333 0
"SRR14117909" 0.545666666666667 0.204666666666667 0.0253333333333333 0.0923333333333333 0.000666666666666667 0.107333333333333 0.024 0.354333333333333 0.191 0.000333333333333297 0.120666666666667 0.139 0.0786666666666667 0.00466666666666667 0 0.0113333333333333 0.028 0.0793333333333333 0.00633333333333333 0 0.00233333333333333 0.00166666666666667 0.003 0.028 0.0796666666666667 0.00633333333333333 0 0.00233333333333333 0.00166666666666667 0.00266666666666668 0 0 0.0633333333333333 0.008 0.00766666666666667 0.00633333333333333 0.000666666666666667 0 0 0.0796666666666667 0 0 0.00633333333333333 0
"SRR14117908" 0.551666666666667 0.138 0.035 0.134 0 0.108 0.0333333333333333 0.421 0.130666666666667 0 0.107666666666667 0.203666666666667 0.0896666666666667 0.003 0 0.017 0.0133333333333333 0.0686666666666667 0.00966666666666667 0 0.00266666666666667 0.00566666666666667 0.00766666666666665 0.0126666666666667 0.07 0.00966666666666667 0 0.00266666666666667 0.00566666666666667 0.00699999999999999 0.000333333333333333 0 0.05 0.013 0.00466666666666667 0.00933333333333333 0.00166666666666667 0.000333333333333333 0 0.07 0 0 0.00933333333333333 0
"SRR14117907" 0.802333333333333 0.0193333333333333 0.012 0.115 0.000333333333333333 0.0353333333333333 0.0156666666666667 0.701666666666667 0.0996666666666667 0.001 0.169333333333333 0.369333333333333 0.144333333333333 0.000666666666666667 0 0.018 0.0176666666666667 0.141666666666667 0.003 0 0.00133333333333333 0.001 0.00466666666666668 0.0183333333333333 0.143333333333333 0.003 0 0.00133333333333333 0.001 0.00233333333333333 0 0 0.128333333333333 0.00633333333333333 0.007 0.003 0 0 0 0.143333333333333 0 0 0.003 0
"SRR14117906" 0.593333333333333 0.156 0.0373333333333333 0.108 0.00333333333333333 0.067 0.0349999999999999 0.421 0.172 0.000333333333333408 0.149333333333333 0.16 0.0933333333333333 0.006 0 0.0123333333333333 0.024 0.0986666666666667 0.0103333333333333 0 0.005 0.00333333333333333 0.00800000000000001 0.025 0.101333333333333 0.0103333333333333 0 0.005 0.00333333333333333 0.00433333333333336 0 0 0.0826666666666667 0.009 0.00566666666666667 0.0103333333333333 0.00166666666666667 0 0 0.101333333333333 0 0 0.0103333333333333 0
"SRR14117905" 0.540666666666667 0.133666666666667 0.0263333333333333 0.107666666666667 0.000666666666666667 0.157666666666667 0.0333333333333334 0.413666666666667 0.127 0 0.114 0.161 0.114666666666667 0.004 0 0.02 0.0146666666666667 0.078 0.00333333333333333 0 0.00166666666666667 0.003 0.0133333333333333 0.017 0.079 0.00333333333333333 0 0.00166666666666667 0.003 0.01 0 0 0.0646666666666667 0.00566666666666667 0.00633333333333333 0.00333333333333333 0.000333333333333333 0 0 0.079 0 0 0.00333333333333333 0
