"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR9912200" 0.554333333333333 0.17 0.00366666666666667 0.011 0.00266666666666667 0.221 0.0373333333333332 0.531 0.0233333333333333 0 0.0976666666666667 0.0663333333333333 0.290333333333333 0.015 0 0.0616666666666667 0.0436666666666667 0.0376666666666667 0.002 0 0 0.00466666666666667 0.00966666666666666 0.0276666666666667 0.0393333333333333 0.002 0 0 0.00466666666666667 0.024 0 0 0.0196666666666667 0.006 0.00833333333333333 0.002 0.004 0 0 0.0393333333333333 0 0 0.002 0
"SRR9912195" 0.935 0.0513333333333333 0.00133333333333333 0.005 0 0.006 0.0013333333333333 0.042 0.893 0 0.009 0.00233333333333333 0.0226666666666667 0.000666666666666667 0 0.00733333333333333 0.00566666666666667 0 0 0 0 0.00233333333333333 0.000999999999999999 0.00666666666666667 0 0 0 0 0.00233333333333333 -1.73472347597681e-18 0 0 0 0 0 0 0.002 0 0 0 0 0 0 0
"SRR9912193" 0.936 0.058 0 0 0 0.006 0 0.0916666666666667 0.844333333333333 0 0.0146666666666667 0.011 0.0566666666666667 0.000333333333333333 0 0.00899999999999999 0.006 0.00666666666666667 0 0 0 0 0.002 0.007 0.00733333333333333 0 0 0 0 0.000333333333333333 0 0 0.00566666666666667 0 0.001 0 0 0 0 0.00733333333333333 0 0 0 0
"SRR9912187" 0.495333333333333 0.273333333333333 0.00133333333333333 0.000333333333333333 0.00233333333333333 0.221333333333333 0.00600000000000023 0.46 0.0353333333333333 0 0.02 0.00233333333333333 0.402333333333333 0.00333333333333333 0 0.032 0.02 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.0196666666666667 0 0 0 0 0 0 0
"SRR9912177" 0.693333333333333 0.13 0.00166666666666667 0.01 0.001 0.154333333333333 0.0096666666666666 0.302666666666667 0.390666666666667 0 0.0576666666666667 0.000333333333333333 0.181333333333333 0.00233333333333333 0 0.061 0.0573333333333333 0 0 0 0 0 0.000333333333333331 0.0573333333333333 0 0 0 0 0 0.000333333333333331 0 0 0 0 0 0 0.0573333333333333 0 0 0 0 0 0 0
"SRR9912181" 0.913666666666667 0.0813333333333333 0.000333333333333333 0.000333333333333333 0.000333333333333333 0.00166666666666667 0.00233333333333341 0.0786666666666667 0.835 0 0.0156666666666667 0.00633333333333333 0.048 0.000333333333333333 0 0.00833333333333332 0.0103333333333333 0.00433333333333333 0 0 0 0.000333333333333333 0.000666666666666666 0.0103333333333333 0.00433333333333333 0 0 0 0.000333333333333333 0.000666666666666666 0 0 0.002 0 0.00233333333333333 0 0.000666666666666667 0 0 0.00433333333333333 0 0 0 0
"SRR9912174" 0.565666666666667 0.239666666666667 0.00933333333333333 0.000666666666666667 0.001 0.129 0.0546666666666666 0.555333333333333 0.0103333333333333 0 0.210666666666667 0.0103333333333333 0.262 0.0103333333333333 0 0.062 0.179 0.0153333333333333 0.000666666666666667 0 0 0.003 0.0126666666666667 0.135333333333333 0.017 0.000666666666666667 0 0 0.003 0.0546666666666667 0 0 0.0113333333333333 0.000333333333333333 0.00266666666666667 0.000666666666666667 0.0166666666666667 0 0 0.017 0 0 0.000666666666666667 0
"SRR9912213" 0.278 0.530666666666667 0.005 0.0123333333333333 0.001 0.144 0.029 0.19 0.088 0 0.039 0.001 0.0466666666666667 0.000333333333333333 0 0.103 0.00233333333333333 0.00166666666666667 0 0.00333333333333333 0 0.0223333333333333 0.00933333333333333 0.002 0.005 0 0 0 0.0223333333333333 0.00966666666666667 0 0 0.000666666666666667 0 0.000666666666666667 0 0 0 0 0.005 0 0 0 0
"SRR9912212" 0.514666666666667 0.197 0.0366666666666667 0.0233333333333333 0.000333333333333333 0.160333333333333 0.0676666666666668 0.447333333333333 0.0673333333333333 0 0.0916666666666667 0.0296666666666667 0.244666666666667 0.0106666666666667 0 0.0706666666666667 0.032 0.0143333333333333 0.000666666666666667 0.001 0 0.012 0.0316666666666666 0.0276666666666667 0.0256666666666667 0.000666666666666667 0 0 0.012 0.0256666666666667 0 0 0.01 0.000333333333333333 0.004 0.000666666666666667 0.00533333333333333 0 0 0.0256666666666667 0 0 0.000666666666666667 0
"SRR9912202" 0.303333333333333 0.545 0.00533333333333333 0.0506666666666667 0.000666666666666667 0.0313333333333333 0.0636666666666666 0.277666666666667 0.0256666666666667 0 0.112 0.0616666666666667 0.0316666666666667 0.00466666666666667 0 0.0676666666666667 0.00966666666666667 0.0593333333333333 0.0346666666666667 0.000333333333333333 0.00166666666666667 0.00166666666666667 0.00466666666666667 0.00866666666666667 0.0606666666666667 0.0346666666666667 0 0.00166666666666667 0.00166666666666667 0.00466666666666668 0.00333333333333333 0 0.0256666666666667 0.0186666666666667 0.0103333333333333 0.0313333333333333 0.000666666666666667 0.00333333333333333 0 0.0606666666666667 0 0 0.0313333333333333 0
