"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"DRR374663" 0.457 0.187666666666667 0.244333333333333 0.007 0.104 0 0 0.263666666666667 0.193333333333333 5.55111512312578e-17 0.0243333333333333 0.0383333333333333 0 0.201 0 0 0 0 0 0 0 0.0243333333333333 0 0 0 0 0 0 0.0243333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374664" 0.614333333333333 0.184333333333333 0.0916666666666667 0 0.109666666666667 0 0 0.553666666666667 0.0606666666666667 0 0.115 0.264 0 0.16 0.0143333333333333 0.000333333333333297 0 0 0.115 0 0 0 0 0 0 0.115 0 0 0 0 0 0 0 0 0 0.115 0 0 0 0 0 0 0.115 0
"DRR374665" 0.366666666666667 0.000333333333333333 0.510666666666667 0.00333333333333333 0.119 0 0 0.232666666666667 0.134 -5.55111512312578e-17 0.129333333333333 0.0576666666666667 0 0.0456666666666667 0 0 0 0 0.0746666666666667 0 0 0 0.0546666666666667 0 0 0.0746666666666667 0 0 0 0.0546666666666667 0 0 0 0 0 0.0746666666666667 0 0 0 0 0 0 0.0746666666666667 0
"DRR374666" 0.327 0.156333333333333 0.134666666666667 0.000666666666666667 0.38 0 0.0013333333333333 0.273666666666667 0.0533333333333333 0 0.0723333333333333 0.004 0.113333333333333 0.084 0 0 0 0 0.0723333333333333 0 0 0 0 0 0 0.0723333333333333 0 0 0 0 0 0 0 0 0 0.0723333333333333 0 0 0 0 0 0 0.0723333333333333 0
"DRR374667" 0.332333333333333 0.0413333333333333 0.366666666666667 0.002 0.215 0.000333333333333333 0.0423333333333334 0.279333333333333 0.053 0 0.138333333333333 0.05 0.03 0.0453333333333333 0.0156666666666667 -5.55111512312578e-17 0 0 0.110666666666667 0 0 0 0.0276666666666667 0 0 0.110666666666667 0 0 0 0.0276666666666667 0 0 0 0 0 0.110666666666667 0 0 0 0 0 0 0.110666666666667 0
"DRR374668" 0.552666666666667 0.0763333333333333 0.207 0 0.158 0 0.006 0.485 0.0676666666666667 0 0.0926666666666667 0.196 0 0.196333333333333 0 0 0 0 0.0713333333333333 0 0.006 0 0.0153333333333333 0 0 0.0713333333333333 0 0.006 0 0.0153333333333333 0 0 0 0 0 0.0713333333333333 0 0 0 0 0 0 0.0713333333333333 0
"DRR374669" 0.449666666666667 0 0.263666666666667 0.01 0.0556666666666667 0.000333333333333333 0.220666666666667 0.202 0.247666666666667 0 0.0503333333333333 0.067 0.00133333333333333 0.072 0.0106666666666667 0.000666666666666677 0 0 0.001 0 0.0493333333333333 0 0 0 0 0.001 0 0.0493333333333333 0 0 0 0 0 0 0 0.001 0 0 0 0 0 0 0.001 0
"DRR374670" 0.452786119452786 0.212212212212212 0.17650984317651 0.0413747080413747 0.0904237570904238 0 0.0266933600266934 0.341675008341675 0.111111111111111 0 0.0503837170503837 0.0567233900567234 0.0824157490824158 0.152152152152152 0 0 0 0 0.0503837170503837 0 0 0 0 0 0 0.0503837170503837 0 0 0 0 0 0 0 0 0 0.0503837170503837 0 0 0 0 0 0 0.0503837170503837 0
"DRR374671" 0.157666666666667 0.0876666666666667 0.648 0 0.0623333333333333 0 0.0443333333333333 0.113 0.0446666666666667 0 0.0713333333333333 0.0416666666666667 0 0 0 1.38777878078145e-17 0 0 0.0706666666666667 0 0.000666666666666667 0 0 0 0 0.0706666666666667 0 0.000666666666666667 0 0 0 0 0 0 0 0.0706666666666667 0 0 0 0 0 0 0.0706666666666667 0
"DRR374673" 0.137333333333333 0.009 0.590666666666667 0 0.228333333333333 0.000333333333333333 0.0343333333333333 0.0913333333333333 0.046 0 0.0536666666666667 0.0376666666666667 0 0 0 0 0 0.0196666666666667 0.0126666666666667 0 0.012 0 0.00933333333333333 0 0.0196666666666667 0.0126666666666667 0 0.012 0 0.00933333333333333 0 0 0.0196666666666667 0 0 0.0126666666666667 0 0 0 0.0196666666666667 0 0 0.0126666666666667 0
"DRR374674" 0.452484161387129 0 0.400800266755585 0 0.146715571857286 0 0 0.15838612870957 0.294098032677559 0 0.000333444481493831 0.158052684228076 0 0 0 0 0 0 0 0 0 0.000333444481493831 0 0 0 0 0 0 0.000333444481493831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"DRR374675" 0.199 0.339333333333333 0.297 0.0316666666666667 0.133 0 1.11022302462516e-16 0.152 0.047 0 0.127333333333333 0.015 0 0.00966666666666667 0 2.77555756156289e-17 0 0.127333333333333 0 0 0 0 0 0 0.127333333333333 0 0 0 0 0 0 0 0.127333333333333 0 0 0 0 0 0 0.127333333333333 0 0 0 0
"DRR374676" 0.506333333333333 0 0.342 0.0273333333333333 0.00666666666666667 0.0306666666666667 0.087 0.416 0.0903333333333333 0 0.112666666666667 0.194 0 0.00433333333333333 0.0366666666666667 0.0683333333333333 0 0 0.065 0 0.0313333333333333 0.0113333333333333 0.005 0 0 0.065 0 0.0313333333333333 0.0113333333333333 0.005 0 0 0 0 0 0.065 0 0 0 0 0 0 0.065 0
