"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR2106855" 0.200333333333333 0.482666666666667 0.026 0.184 0 0.0356666666666667 0.0713333333333334 0.129666666666667 0.0706666666666667 -2.77555756156289e-17 0.0293333333333333 0.034 0.0123333333333333 0.045 0 0.00900000000000001 0.00566666666666667 0.00166666666666667 0.000333333333333333 0 0.001 0.00266666666666667 0.018 0 0.0153333333333333 0.000333333333333333 0 0.001 0.00266666666666667 0.01 0 0 0.000333333333333333 0.00133333333333333 0 0.000333333333333333 0 0 0 0.0153333333333333 0 0 0 0
"SRR2106857" 0.310333333333333 0.302333333333333 0.0466666666666667 0.175333333333333 0 0.0223333333333333 0.143 0.211666666666667 0.0986666666666667 0 0.09 0.0453333333333333 0.0343333333333333 0.02 0 0.022 0.00766666666666667 0.0453333333333333 0.01 0 0.00433333333333333 0.00166666666666667 0.021 0.00266666666666667 0.054 0.01 0 0.00433333333333333 0.00166666666666667 0.0173333333333333 0.006 0 0.0216666666666667 0.0163333333333333 0.002 0.004 0 0.006 0 0.054 0 0 0.004 0
"SRR2106859" 0.244666666666667 0.423 0.0353333333333333 0.0503333333333333 0 0.026 0.220666666666667 0.214 0.03 0.000666666666666677 0.101 0.0343333333333333 0.0316666666666667 0.0356666666666667 0 0.0113333333333333 0.007 0.0553333333333333 0.0166666666666667 0 0.000666666666666667 0.00433333333333333 0.017 0.00366666666666667 0.0646666666666667 0.0166666666666667 0 0.000666666666666667 0.00433333333333333 0.011 0.00533333333333333 0 0.0336666666666667 0.0153333333333333 0.004 0.0113333333333333 0 0.00533333333333333 0 0.0646666666666667 0 0 0.0113333333333333 0
"SRR2106861" 0.374666666666667 0.357333333333333 0.0256666666666667 0.0653333333333333 0 0.025 0.152 0.344333333333333 0.0303333333333333 0 0.173 0.0856666666666667 0.0436666666666667 0.024 0 0.018 0.0206666666666667 0.0846666666666667 0.038 0 0.00266666666666667 0.003 0.024 0.00966666666666667 0.094 0.038 0 0.00266666666666667 0.003 0.0256666666666666 0.012 0 0.039 0.026 0.00366666666666667 0.026 0 0.012 0 0.094 0 0 0.026 0
"SRR2106864" 0.399333333333333 0.313666666666667 0.0396666666666667 0.066 0 0.0203333333333333 0.161 0.334 0.0636666666666667 0.00166666666666665 0.131666666666667 0.07 0.043 0.0683333333333333 0 0.0210000000000001 0.0146666666666667 0.0936666666666667 0.012 0 0.00466666666666667 0.00166666666666667 0.005 0.0103333333333333 0.093 0.012 0 0.00466666666666667 0.00166666666666667 0.01 0.00533333333333333 0 0.07 0.0223333333333333 0.001 0.00666666666666667 0 0.00533333333333333 0 0.093 0 0 0.00666666666666667 0
"SRR2106866" 0.664 0.0836666666666667 0.026 0.011 0 0.174 0.0413333333333332 0.638666666666667 0.0253333333333333 0 0.059 0.0186666666666667 0.0846666666666667 0.417 0 0.0593333333333335 0.009 0.0306666666666667 0 0 0 0 0.0193333333333333 0.0163333333333333 0.038 0 0 0 0 0.00466666666666667 0 0 0.023 0.00433333333333333 0.00333333333333333 0 0 0 0 0.038 0 0 0 0
"SRR2106870" 0.689 0.049 0.0416666666666667 0.056 0 0.110666666666667 0.0536666666666666 0.608 0.081 0 0.059 0.055 0.112666666666667 0.341333333333333 0 0.04 0.0166666666666667 0.0236666666666667 0.000666666666666667 0 0.00133333333333333 0 0.0166666666666667 0.0103333333333333 0.033 0.00166666666666667 0 0.00133333333333333 0 0.0126666666666667 0 0 0.013 0.00266666666666667 0.008 0.000666666666666667 0 0 0 0.033 0 0 0.000666666666666667 0
"SRR2106872" 0.717333333333333 0.063 0.054 0.0543333333333333 0 0.088 0.0233333333333333 0.673 0.044 0.000333333333333297 0.051 0.0796666666666667 0.0646666666666667 0.413 0 0.0646666666666668 0.011 0.017 0.00233333333333333 0 0.000333333333333333 0 0.0203333333333333 0.0163333333333333 0.019 0.00466666666666667 0 0.000333333333333333 0 0.0106666666666667 0 0 0.00833333333333333 0.00233333333333333 0.00633333333333333 0.00233333333333333 0 0 0 0.019 0 0 0.00233333333333333 0
"SRR2106886" 0.174666666666667 0.361 0.00966666666666667 0.176666666666667 0.000333333333333333 0.105666666666667 0.172 0.0583333333333333 0.116333333333333 0 0.0136666666666667 0.0343333333333333 0.002 0.00533333333333333 0 0.003 0 0 0.000666666666666667 0 0.002 0.00566666666666667 0.00533333333333333 0 0 0.001 0 0.002 0.00566666666666667 0.005 0 0 0 0 0 0.000666666666666667 0 0 0 0 0 0 0 0
"SRR2106889" 0.099 0.54 0.005 0.110333333333333 0 0.115333333333333 0.130333333333333 0.0546666666666667 0.0443333333333333 0 0.011 0.031 0 0.00766666666666667 0 0.005 0 0.000333333333333333 0.00166666666666667 0 0.001 0.001 0.007 0 0.000333333333333333 0.00333333333333333 0 0.001 0.001 0.00533333333333333 0 0 0 0.000333333333333333 0 0.00166666666666667 0 0 0 0.000333333333333333 0 0 0.000666666666666667 0
"SRR2106891" 0.129 0.507 0.0103333333333333 0.166666666666667 0 0.08 0.107 0.0926666666666667 0.0363333333333333 0 0.00433333333333333 0.057 0.00166666666666667 0.0243333333333333 0 0.00533333333333333 0 0 0.00233333333333333 0 0 0.00166666666666667 0.000333333333333333 0 0 0.00233333333333333 0 0 0.00166666666666667 0.000333333333333333 0 0 0 0 0 0.00233333333333333 0 0 0 0 0 0 0 0
"SRR2106893" 0.140333333333333 0.451333333333333 0.012 0.145 0 0.07 0.181333333333333 0.0703333333333333 0.07 0 0.012 0.039 0.000666666666666667 0.0113333333333333 0 0.00733333333333333 0 0.000333333333333333 0 0 0.001 0.00466666666666667 0.006 0 0.000333333333333333 0 0 0.001 0.00466666666666667 0.006 0 0 0 0.000333333333333333 0 0 0 0 0 0.000333333333333333 0 0 0 0
"SRR2106899" 0.361 0.325666666666667 0.0446666666666667 0.0906666666666667 0 0.0226666666666667 0.155333333333333 0.341333333333333 0.0196666666666667 0 0.188333333333333 0.075 0.0506666666666667 0.0153333333333333 0 0.0120000000000001 0.0143333333333333 0.128 0.0313333333333333 0 0 0.004 0.0106666666666667 0.0216666666666667 0.13 0.0313333333333333 0 0 0.004 0.00133333333333333 0.0123333333333333 0 0.104 0.0153333333333333 0 0.019 0 0.0123333333333333 0 0.13 0 0 0.0176666666666667 0
"SRR2106903" 0.308666666666667 0.375333333333333 0.037 0.0443333333333333 0 0.0416666666666667 0.193 0.252666666666667 0.056 0 0.127666666666667 0.0453333333333333 0.033 0.0366666666666667 0 0.00999999999999995 0.013 0.091 0.011 0 0.000666666666666667 0.00633333333333333 0.0056666666666667 0.013 0.092 0.0116666666666667 0 0.000666666666666667 0.00633333333333333 0.00400000000000002 0.000333333333333333 0 0.069 0.0146666666666667 0 0.0106666666666667 0 0.000333333333333333 0 0.092 0 0 0.00866666666666667 0
"SRR2106905" 0.504666666666667 0.224666666666667 0.00933333333333333 0.04 0 0.039 0.182333333333333 0.480666666666667 0.024 0 0.283333333333333 0.081 0.0576666666666667 0.0286666666666667 0 0.03 0.0253333333333333 0.193333333333333 0.062 0 0 0 0.00266666666666665 0.0253333333333333 0.194 0.062 0 0 0 0.002 0.0166666666666667 0 0.156333333333333 0.018 0 0.0453333333333333 0 0.0166666666666667 0 0.194 0 0 0.0453333333333333 0
"SRR2106907" 0.674 0.0156666666666667 0.144666666666667 0.0896666666666667 0 0.03 0.0459999999999999 0.602333333333333 0.069 0.00266666666666671 0.0906666666666667 0.259666666666667 0.0323333333333333 0.203333333333333 0 0.0163333333333334 0.00233333333333333 0.0263333333333333 0.0173333333333333 0 0.0116666666666667 0 0.033 0.0146666666666667 0.0293333333333333 0.0253333333333333 0 0.0116666666666667 0 0.00966666666666667 0.00333333333333333 0 0.014 0.007 0.00533333333333333 0.00933333333333333 0 0.00333333333333333 0 0.0293333333333333 0 0 0.008 0
"SRR2106909" 0.712666666666667 0.0366666666666667 0.1 0.0783333333333333 0 0.0373333333333333 0.035 0.674 0.038 0.000666666666666593 0.0416666666666667 0.131333333333333 0.0596666666666667 0.427666666666667 0 0.0136666666666667 0 0.00966666666666667 0.006 0 0.00266666666666667 0.006 0.0173333333333333 0.004 0.017 0.006 0 0.00266666666666667 0.006 0.00599999999999999 0 0 0.00566666666666667 0.004 0 0.006 0 0 0 0.017 0 0 0.006 0
"SRR2106770" 0.432333333333333 0.211666666666667 0.037 0.166 0.000333333333333333 0.065 0.0876666666666666 0.301333333333333 0.13 0.001 0.097 0.058 0.0456666666666667 0.069 0 0.0316666666666667 0.0103333333333333 0.027 0.00433333333333333 0 0 0 0.0553333333333333 0.002 0.0573333333333333 0.00433333333333333 0 0 0 0.0333333333333333 0.001 0 0.000333333333333333 0.0183333333333333 0.00833333333333333 0.00333333333333333 0 0.001 0 0.0573333333333333 0 0 0.00333333333333333 0
"SRR2106772" 0.299 0.236333333333333 0.0513333333333333 0.123333333333333 0.000666666666666667 0.0813333333333333 0.208 0.212 0.0863333333333333 0.000666666666666649 0.0586666666666667 0.0603333333333333 0.029 0.044 0 0.02 0.00866666666666667 0.0143333333333333 0.004 0 0.000666666666666667 0.00966666666666667 0.0213333333333333 0.00233333333333333 0.0243333333333333 0.004 0 0.000666666666666667 0.00966666666666667 0.0176666666666667 0.00133333333333333 0 0 0.011 0.00333333333333333 0.00266666666666667 0 0.00133333333333333 0 0.0243333333333333 0 0 0.00266666666666667 0
"SRR2106774" 0.320666666666667 0.332666666666667 0.0536666666666667 0.0896666666666667 0 0.0593333333333333 0.144 0.208 0.111 0.00166666666666665 0.0516666666666667 0.0206666666666667 0.0253333333333333 0.074 0 0.0363333333333333 0.00633333333333333 0.0156666666666667 0.00233333333333333 0 0.000333333333333333 0.00533333333333333 0.0216666666666667 0 0.023 0.00233333333333333 0 0.000333333333333333 0.00533333333333333 0.0206666666666667 0.00166666666666667 0 0 0.0116666666666667 0.004 0.000666666666666667 0 0.00166666666666667 0 0.023 0 0 0.000666666666666667 0
"SRR2106776" 0.410666666666667 0.238666666666667 0.038 0.141 0.000666666666666667 0.051 0.12 0.212 0.197666666666667 0.00100000000000006 0.0723333333333333 0.0366666666666667 0.0446666666666667 0.0423333333333333 0 0.016 0.007 0.022 0.00366666666666667 0 0.006 0.00766666666666667 0.026 0.00133333333333333 0.0366666666666667 0.00366666666666667 0 0.006 0.00766666666666667 0.017 0.001 0 0.00233333333333333 0.014 0.00566666666666667 0.00266666666666667 0 0.001 0 0.0366666666666667 0 0 0.00266666666666667 0
"SRR2106778" 0.422666666666667 0.224333333333333 0.0983333333333333 0.0633333333333333 0 0.035 0.156333333333333 0.408666666666667 0.014 0 0.149333333333333 0.0676666666666667 0.0593333333333333 0.041 0 0.0913333333333333 0.0266666666666667 0.069 0.0233333333333333 0 0.001 0.003 0.0263333333333333 0.0273333333333333 0.0826666666666667 0.0233333333333333 0 0.001 0.003 0.012 0.013 0 0.0513333333333333 0.0133333333333333 0.00433333333333333 0.009 0 0.013 0 0.0826666666666667 0 0 0.009 0
"SRR2106780" 0.242080693564521 0.301767255751917 0.079026342114038 0.0600200066688896 0 0.0620206735578526 0.255085028342781 0.218072690896966 0.023674558186062 0.000333444481493833 0.0930310103367789 0.0376792264088029 0.0180060020006669 0.0446815605201734 0 0.0246748916305435 0.00600200066688896 0.0393464488162721 0.0166722240746916 0 0.000666888962987663 0.00600200066688896 0.0243414471490497 0.00433477825941981 0.0516838946315438 0.0166722240746916 0 0.000666888962987663 0.00600200066688896 0.0136712237412471 0.0106702234078026 0 0.0260086695565188 0.0113371123707903 0.00200066688896299 0.00566855618539513 0 0.0106702234078026 0 0.0516838946315438 0 0 0.00566855618539513 0
"SRR2106783" 0.291333333333333 0.167 0.0686666666666667 0.116 0.001 0.158666666666667 0.197333333333333 0.255333333333333 0.036 0 0.097 0.054 0.0273333333333333 0.0576666666666667 0 0.0193333333333333 0.017 0.047 0.01 0 0.000333333333333333 0.001 0.0216666666666667 0.017 0.063 0.01 0 0.000333333333333333 0.001 0.00566666666666667 0.00633333333333333 0 0.0316666666666667 0.0126666666666667 0.00266666666666667 0.00366666666666667 0 0.00633333333333333 0 0.063 0 0 0.00366666666666667 0
"SRR2106785" 0.451333333333333 0.171666666666667 0.0966666666666667 0.122333333333333 0.002 0.0253333333333333 0.130666666666667 0.409333333333333 0.0406666666666667 0.0013333333333333 0.177 0.0923333333333333 0.059 0.0293333333333333 0 0.0516666666666667 0.021 0.054 0.0246666666666667 0 0 0.0116666666666667 0.0656666666666667 0.021 0.0956666666666667 0.0246666666666667 0 0 0.0116666666666667 0.024 0.0176666666666667 0 0.0406666666666667 0.0116666666666667 0.00166666666666667 0.007 0 0.0176666666666667 0 0.0956666666666667 0 0 0.007 0
"SRR2106787" 0.460333333333333 0.133 0.0996666666666667 0.0633333333333333 0 0.077 0.166666666666667 0.408333333333333 0.052 0 0.116333333333333 0.0863333333333333 0.079 0.08 0 0.0466666666666666 0.006 0.049 0.0116666666666667 0 0 0.005 0.0446666666666667 0.00566666666666667 0.0776666666666667 0.0116666666666667 0 0 0.005 0.0163333333333333 0.007 0 0.037 0.00966666666666667 0.00233333333333333 0.00333333333333333 0 0.007 0 0.0776666666666667 0 0 0.00333333333333333 0
"SRR2106789" 0.456333333333333 0.008 0.133666666666667 0.267 0.000333333333333333 0.0573333333333333 0.0773333333333334 0.406666666666667 0.0376666666666667 0.012 0.084 0.192333333333333 0.00966666666666667 0.0726666666666667 0.00166666666666667 0.0463333333333334 0 0.000666666666666667 0.0106666666666667 0 0.057 0.00533333333333333 0.0103333333333333 0 0.00133333333333333 0.0106666666666667 0 0.057 0.00533333333333333 0.00966666666666667 0.00866666666666667 0 0.000666666666666667 0 0 0.000333333333333333 0 0.00866666666666667 0 0.00133333333333333 0 0 0.000333333333333333 0
"SRR2106791" 0.613666666666667 0.0513333333333333 0.092 0.0956666666666667 0 0.0466666666666667 0.100666666666667 0.560333333333333 0.053 0.000333333333333297 0.142 0.135 0.0746666666666667 0.179333333333333 0 0.0293333333333333 0.00366666666666667 0.0636666666666667 0.0143333333333333 0 0.008 0.00733333333333333 0.045 0.00666666666666667 0.0886666666666667 0.0183333333333333 0 0.008 0.00733333333333333 0.013 0.00633333333333333 0 0.0406666666666667 0.0186666666666667 0.00433333333333333 0.007 0 0.00633333333333333 0 0.0886666666666667 0 0 0.007 0
