"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"ERR4653689" 0.256 0.321333333333333 0.0806666666666667 0.032 0.0203333333333333 0.0963333333333333 0.193333333333333 0.192 0.064 0 0.056 0.0406666666666667 0.0543333333333333 0.00733333333333333 0 0.0336666666666667 0.002 0.0173333333333333 0.00166666666666667 0.000666666666666667 0.00833333333333333 0.0123333333333333 0.0136666666666667 0.00233333333333333 0.0176666666666667 0.00166666666666667 0 0.00833333333333333 0.0123333333333333 0.0136666666666667 0.00133333333333333 0 0.00533333333333333 0.00333333333333333 0.00833333333333333 0 0 0.00166666666666667 0 0.0176666666666667 0 0 0 0
"ERR4653690" 0.200333333333333 0.472666666666667 0.0346666666666667 0.004 0 0.0933333333333333 0.195 0.186 0.0143333333333333 0 0.016 0.0146666666666667 0.102 0.0126666666666667 0 0.0406666666666667 0.000666666666666667 0.0106666666666667 0.00333333333333333 0 0 0 0.00133333333333333 0.000666666666666667 0.0106666666666667 0.00266666666666667 0 0 0 0.002 0.00266666666666667 0 0.00233333333333333 0.000666666666666667 0.00766666666666667 0.000666666666666667 0 0.00266666666666667 0 0.0106666666666667 0 0 0 0
"ERR4653691" 0.195 0.403 0.06 0.0276666666666667 0.013 0.0993333333333333 0.202 0.150333333333333 0.0446666666666667 0 0.042 0.0226666666666667 0.0426666666666667 0.00733333333333333 0 0.0356666666666667 0.000333333333333333 0.00766666666666667 0.00166666666666667 0 0.00166666666666667 0.0116666666666667 0.019 0.001 0.00766666666666667 0.00166666666666667 0 0.00166666666666667 0.0116666666666667 0.0183333333333333 0.00166666666666667 0 0.00133333333333333 0.00233333333333333 0.004 0 0 0.00166666666666667 0 0.00766666666666667 0 0 0 0
"ERR4653692" 0.236333333333333 0.367333333333333 0.056 0.029 0.000666666666666667 0.127333333333333 0.183333333333333 0.199666666666667 0.0366666666666667 0 0.046 0.0203333333333333 0.074 0.0136666666666667 0 0.0456666666666667 0 0.00833333333333333 0.004 0.00133333333333333 0.00833333333333333 0.0113333333333333 0.0126666666666667 0.000333333333333333 0.00833333333333333 0.004 0 0.00833333333333333 0.0113333333333333 0.0136666666666667 0.00233333333333333 0 0.00233333333333333 0.003 0.003 0.00166666666666667 0 0.00233333333333333 0 0.00833333333333333 0 0 0.00166666666666667 0
"ERR4653693" 0.157666666666667 0.514 0.0463333333333333 0.0446666666666667 0.0103333333333333 0.08 0.147 0.124666666666667 0.033 0 0.0293333333333333 0.024 0.047 0.0146666666666667 0 0.00966666666666667 0.000666666666666667 0.0123333333333333 0.00533333333333333 0.000333333333333333 0.000666666666666667 0.005 0.005 0.000333333333333333 0.0123333333333333 0.00433333333333333 0 0.000666666666666667 0.005 0.00666666666666666 0.004 0 0.00166666666666667 0.00333333333333333 0.00733333333333333 0.001 0 0.004 0 0.0123333333333333 0 0 0.000333333333333333 0
"ERR4653694" 0.165666666666667 0.355333333333333 0.0543333333333333 0.039 0.003 0.120333333333333 0.262333333333333 0.142 0.0233333333333333 0.000333333333333324 0.049 0.00633333333333333 0.0516666666666667 0.006 0.000333333333333333 0.0286666666666666 0.000333333333333333 0.008 0.00466666666666667 0.00133333333333333 0.003 0.0126666666666667 0.019 0 0.00966666666666667 0.00433333333333333 0 0.003 0.0126666666666667 0.0193333333333333 0.00433333333333333 0 0.00166666666666667 0.00133333333333333 0.00433333333333333 0 0 0.00433333333333333 0 0.00966666666666667 0 0 0 0
"ERR4653695" 0.118666666666667 0.524 0.0463333333333333 0.0343333333333333 0.003 0.0973333333333333 0.176333333333333 0.0986666666666667 0.02 0 0.0243333333333333 0.00466666666666667 0.0436666666666667 0.01 0 0.016 0.00133333333333333 0.006 0.002 0.000333333333333333 0.000666666666666667 0.00566666666666667 0.00833333333333333 0.001 0.00666666666666667 0.00166666666666667 0 0.000666666666666667 0.00566666666666667 0.00866666666666666 0.002 0 0.001 0.000333333333333333 0.00466666666666667 0 0 0.00166666666666667 0 0.00666666666666667 0 0 0 0
"ERR4653696" 0.18 0.533 0.0353333333333333 0.008 0.006 0.0843333333333333 0.153333333333333 0.158333333333333 0.0216666666666667 0 0.021 0.0206666666666667 0.0693333333333333 0.00733333333333333 0 0.04 0.002 0.00733333333333333 0.00433333333333333 0 0.001 0.002 0.00433333333333334 0.002 0.00866666666666667 0.004 0 0.001 0.002 0.00333333333333334 0.004 0 0.00133333333333333 0.001 0.005 0.000333333333333333 0 0.004 0 0.00866666666666667 0 0 0 0
"ERR4653697" 0.224333333333333 0.088 0.104333333333333 0.096 0.032 0.12 0.335333333333333 0.175666666666667 0.0486666666666667 0 0.0876666666666667 0.006 0.031 0.0123333333333333 0.000666666666666667 0.038 0.00466666666666667 0.003 0.00133333333333333 0.00133333333333333 0.00566666666666667 0.029 0.0426666666666667 0.00333333333333333 0.003 0.00133333333333333 0 0.00566666666666667 0.029 0.0453333333333333 0 0 0 0.000333333333333333 0.002 0.00133333333333333 0 0 0 0.003 0 0 0.00133333333333333 0
"ERR4653698" 0.148666666666667 0.520333333333333 0.071 0.038 0.00533333333333333 0.06 0.156666666666667 0.114333333333333 0.0336666666666667 0.000666666666666677 0.034 0.008 0.0266666666666667 0.0143333333333333 0 0.0313333333333333 0.001 0.00266666666666667 0.000333333333333333 0.000666666666666667 0.00466666666666667 0.00966666666666667 0.015 0.00133333333333333 0.003 0 0 0.00466666666666667 0.00966666666666667 0.0153333333333333 0 0.000333333333333333 0.001 0 0.00166666666666667 0.000333333333333333 0 0 0 0.003 0 0 0 0
