"Phylum=Pseudomonadota" "Phylum=Cyanobacteriota" "Phylum=Actinomycetota" "Phylum=Bacteroidota" "Phylum=Bacillota" "Phylum=Acidobacteriota" "Phylum=other_Bacteria" "Class=Alphaproteobacteria" "Class=Gammaproteobacteria" "Class=other_Pseudomonadota" "Order=Hyphomicrobiales" "Order=Sphingomonadales" "Order=Acetobacterales" "Order=Rickettsiales" "Order=Rhodobacterales" "Order=other_Alphaproteobacteria" "FamilyG=Beijerinckiaceae" "FamilyG=Lichenihabitantaceae" "FamilyG=Methylobacteriaceae" "FamilyG=Methylocystaceae" "FamilyG=Rhizobiaceae" "FamilyG=Xanthobacteraceae" "FamilyG=other_Hyphomicrobiales" "FamilyS=Beijerinckiaceae" "FamilyS=Lichenihabitantaceae" "FamilyS=Methylobacteriaceae" "FamilyS=Methylocystaceae" "FamilyS=Rhizobiaceae" "FamilyS=Xanthobacteraceae" "FamilyS=other_Hyphomicrobiales" "GenusG=Enterovirga" "GenusG=JAJXWB01" "GenusG=Lichenibacterium" "GenusG=Lichenifustis" "GenusG=Lichenihabitans" "GenusG=Methylobacterium" "GenusG=RHAL1" "GenusS=Enterovirga" "GenusS=JAJXWB01" "GenusS=Lichenibacterium" "GenusS=Lichenifustis" "GenusS=Lichenihabitans" "GenusS=Methylobacterium" "GenusS=RHAL1"
"SRR14532225" 0.606 0.00233333333333333 0.244666666666667 0.043 0 0.0463333333333333 0.0576666666666666 0.586666666666667 0.0193333333333333 0 0.354333333333333 0.0386666666666667 0.182666666666667 0 0 0.011 0.003 0.275666666666667 0.0156666666666667 0.02 0.000333333333333333 0 0.0396666666666666 0.0586666666666667 0.272333333333333 0.0163333333333333 0.000666666666666667 0.000333333333333333 0 0.00600000000000006 0.00133333333333333 0 0.237666666666667 0.038 0 0.0143333333333333 0.000666666666666667 0.00133333333333333 0 0.272333333333333 0 0 0.015 0
"SRR14532241" 0.211666666666667 0.000666666666666667 0.412 0.198666666666667 0.00766666666666667 0.009 0.160333333333333 0.183 0.0286666666666667 0 0.091 0.0143333333333333 0.048 0.029 0 0.000666666666666677 0 0.065 0.015 0.00333333333333333 0.000333333333333333 0.00166666666666667 0.00566666666666667 0.00333333333333333 0.064 0.015 0.00333333333333333 0.000333333333333333 0.00166666666666667 0.00333333333333334 0.00166666666666667 0 0.0543333333333333 0.0106666666666667 0 0.0133333333333333 0 0.00166666666666667 0 0.064 0 0 0.0133333333333333 0
"SRR14532312" 0.686666666666667 0 0.00133333333333333 0.002 0.00133333333333333 0 0.308666666666667 0.484666666666667 0.202 -1.11022302462516e-16 0.42 0.0646666666666667 0 0 0 5.55111512312578e-17 0 0 0.418666666666667 0 0.001 0.000333333333333333 -5.55111512312578e-17 0 0 0.418666666666667 0 0.001 0.000333333333333333 -5.55111512312578e-17 0 0 0 0 0 0.418666666666667 0 0 0 0 0 0 0.418666666666667 0
"SRR14532301" 0.229 0.004 0.506 0.149 0.00533333333333333 0.0336666666666667 0.0730000000000001 0.213 0.016 2.77555756156289e-17 0.113666666666667 0.021 0.073 0 0 0.00533333333333333 0.00266666666666667 0.0826666666666667 0.00933333333333333 0.01 0 0.00166666666666667 0.00733333333333334 0.0106666666666667 0.0823333333333333 0.0103333333333333 0.00666666666666667 0 0.00166666666666667 0.002 0.001 0 0.0753333333333333 0.00733333333333333 0 0.00833333333333333 0.000333333333333333 0.001 0 0.0823333333333333 0 0 0.00933333333333333 0
"SRR14532306" 0.309666666666667 0.00266666666666667 0.578 0.0363333333333333 0.000666666666666667 0.0533333333333333 0.0193333333333334 0.292 0.0176666666666667 0 0.179333333333333 0.00633333333333333 0.096 0.000666666666666667 0.000333333333333333 0.0093333333333333 0.008 0.126333333333333 0.0123333333333333 0.008 0 0 0.0246666666666667 0.036 0.126 0.0123333333333333 0.00233333333333333 0 0 0.00266666666666668 0.001 0 0.114 0.0123333333333333 0 0.0113333333333333 0.001 0.001 0 0.126 0 0 0.0113333333333333 0
"SRR14532302" 0.262666666666667 0.000666666666666667 0.479333333333333 0.168666666666667 0.002 0.0213333333333333 0.0653333333333335 0.253333333333333 0.00933333333333333 -5.55111512312578e-17 0.180333333333333 0.021 0.045 0.000666666666666667 0 0.00633333333333333 0.00133333333333333 0.143 0.0156666666666667 0.00366666666666667 0 0 0.0166666666666667 0.0213333333333333 0.143 0.0156666666666667 0 0 0 0.000333333333333352 0 0 0.132333333333333 0.0106666666666667 0 0.0156666666666667 0 0 0 0.143 0 0 0.0156666666666667 0
"SRR14532297" 0.255666666666667 0.00166666666666667 0.384333333333333 0.201666666666667 0.002 0.0323333333333333 0.122333333333333 0.229666666666667 0.026 0 0.141333333333333 0.021 0.0606666666666667 0.001 0 0.00566666666666665 0.00333333333333333 0.0966666666666667 0.0163333333333333 0.009 0 0 0.016 0.0226666666666667 0.0966666666666667 0.0176666666666667 0.00233333333333333 0 0 0.002 0.00233333333333333 0 0.0866666666666667 0.01 0 0.014 0.000333333333333333 0.00233333333333333 0 0.0966666666666667 0 0 0.0153333333333333 0
"SRR14532289" 0.472666666666667 0.00266666666666667 0.417 0.0406666666666667 0.0126666666666667 0.0353333333333333 0.019 0.362 0.110666666666667 0 0.221666666666667 0.0173333333333333 0.094 0.007 0 0.022 0.00266666666666667 0.177333333333333 0.012 0.00433333333333333 0 0 0.0253333333333333 0.0296666666666667 0.176333333333333 0.012 0 0 0 0.00366666666666665 0.000666666666666667 0 0.164 0.0133333333333333 0 0.0113333333333333 0 0.000666666666666667 0 0.176333333333333 0 0 0.0113333333333333 0
"SRR14532286" 0.491 0 0.125333333333333 0.288666666666667 0.095 0 0 0.00866666666666667 0.482333333333333 0 0.00866666666666667 0 0 0 0 0 0 0 0 0 0.008 0.000666666666666667 0 0 0 0 0 0.008 0.000666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SRR14532284" 0.129333333333333 0 0.22 0.256333333333333 0 0.00166666666666667 0.392666666666667 0.102666666666667 0.0266666666666667 0 0.0636666666666667 0.00566666666666667 0.032 0 0 0.00133333333333334 0 0.0433333333333333 0.014 0.00133333333333333 0 0.000333333333333333 0.00466666666666667 0.006 0.0433333333333333 0.014 0 0 0.000333333333333333 -1.38777878078145e-17 0 0 0.0423333333333333 0.001 0 0.014 0 0 0 0.0433333333333333 0 0 0.014 0
"SRR14532277" 0.336666666666667 0.009 0.456 0.122 0 0.0446666666666667 0.0316666666666666 0.297 0.0396666666666667 0 0.187333333333333 0.0173333333333333 0.0843333333333333 0.00266666666666667 0 0.00533333333333336 0.006 0.132 0.0136666666666667 0.0113333333333333 0 0 0.0243333333333333 0.0333333333333333 0.131666666666667 0.0136666666666667 0.00266666666666667 0 0 0.006 0 0 0.126 0.006 0 0.0136666666666667 0.00233333333333333 0 0 0.131666666666667 0 0 0.0136666666666667 0
"SRR14532274" 0.236 0.00133333333333333 0.503333333333333 0.132666666666667 0.000666666666666667 0.019 0.107 0.207333333333333 0.0286666666666667 -2.77555756156289e-17 0.132666666666667 0.0253333333333333 0.0433333333333333 0.002 0 0.00400000000000003 0.003 0.0993333333333333 0.0123333333333333 0.005 0 0.000333333333333333 0.0126666666666666 0.0186666666666667 0.098 0.0123333333333333 0.00133333333333333 0 0.000333333333333333 0.002 0 0 0.0906666666666667 0.00866666666666667 0 0.0123333333333333 0.001 0 0 0.098 0 0 0.0123333333333333 0
